yunduoqingshijianshencan	云朵轻食健身餐:37:true	
wandoufen	豌豆粉:318:true	碗豆粉:12:false	
qingwa	青蛙:586:true	青瓦:33:false	青娃:1:false	
chaofenli	炒粉利:24:true	炒粉粒:2:true	
maoshachan	猫砂铲:28:true	
jirouxifan	鸡肉稀饭:50:true	
changweikang	肠胃康:32:true	
xionghua	胸花:28:true	熊华:1:false	熊花:1:false	
shiguotudoufen	石锅土豆粉:56:true	
baigua	白瓜:25:true	
zhengbulai	蒸不赖:25:true	
qingzhenglongxia	清蒸龙虾:519:true	请蒸龙虾:1:true	
zhaoxianshengtaiwanluroufan	赵先生台湾卤肉饭:292:true	
chaohaixian	炒海鲜:344:true	潮海鲜:1:false	
mengniuchaofan	猛牛炒饭:29:true	
lachaolongxiawei	辣炒龙虾尾:31:true	
sufan	素饭:36:true	苏饭:2:false	
suancaidagu	酸菜大骨:95:true	
chaosiluo	炒丝螺:70:true	炒丝萝:2:false	炒蛳螺:2:true	
cai	菜:20356:true	蔡:716:false	财:106:false	彩:80:false	才:70:false	采:30:false	猜:7:false	踩:4:false	採:3:false	材:3:false	財:2:false	倸:1:false	
ganlaofen	干捞粉:942:true	干酪粉:2:true	干老粉:1:true	
baoyuzhi	鲍鱼汁:43:true	鮑魚汁:1:true	
baochaoyarou	爆炒鸭肉:28:true	
jiegeng	桔梗:265:true	芥梗:1:false	
datonggu	大筒骨:50:true	
paozhangmian	炮仗面:83:true	
xijiejing	洗洁精:1276:true	洗潔精:5:true	
putianqiangrou	莆田炝肉:52:true	
dongjichi	冻鸡翅:47:true	
daqingpu	大青浦:57:true	
penzai	盆栽:584:true	
niurouguantou	牛肉罐头:34:true	
bupiyichangwan	补脾益肠丸:36:true	
xiawei	虾尾:18606:true	夏唯:205:false	虾味:182:false	夏未:9:false	蝦尾:7:true	夏味:7:false	呷味:6:false	夏威:4:true	夏维:3:false	虾唯:3:false	夏薇:2:false	夏伟:1:false	下维:1:false	虾围:1:false	夏惟:1:false	虾位:1:false	
wenjuyongpin	文具用品:38:true	
xiaoertuiretie	小儿退热贴:28:true	
niuroushousi	牛肉寿司:32:true	
hongshaoluofeiyu	红烧罗非鱼:115:true	红烧罗飞鱼:3:false	
maipianzhou	麦片粥:37:true	
baola	爆辣:290:true	暴辣:2:false	
xianqiexiaguoqiesuannaishala	鲜切侠果切酸奶沙拉:37:true	
hongzaogao	红枣糕:353:true	
jiucaijuan	韭菜卷:26:true	
niuhuang	牛黄:112:true	牛皇:9:false	牛磺:2:true	
yuhuishaguo	育辉砂锅:25:true	
