奶茶	奶绿	182674
酸皮奶	雙皮奶	152
双脆	脆肚	8092
笋片	竹笋,藕片,笋尖,笋丝,脆笋	68323,68098,51175,49450,41350
涮粉	涮串,涮面,冒粉	448,422,246
鸡小胸	鸡翅中,鸡大腿,鸡大胸,白条鸡	41433,8641,6823,1393
芝麻糕	绿豆糕,桂花糕,糯米糕	20015,1996,1632
水煎饼	煎包,葱花饼	21136,2506
江鱼	臭鱼	283
新鲜肉	午餐肉	75319
水潺面	菜面,米面,三鲜面,瘦肉面,清汤面	54180,49736,7966,3417,3056
黄金棒	唐杨棒	114
塔菜	鸡毛菜,红苋菜,奶白菜,快菜,盖菜	16303,12781,7637,4803,3656
什锦面	卤面,面疙瘩,凉拌面,牛杂面,素面	57648,27774,19897,15658,10316
姜葱	沙姜	11377
龙骨脆	鸡锁骨,脆脆鸡,连心脆,膝软骨,三角骨	8388,3881,3856,3303,1389
炒黄豆	溜豆腐,黄豆粒	2319,152
巴浪鱼	黄鱼,带鱼,鲈鱼,银鱼,青鱼	108422,98137,44766,20780,16451
羊肉馅	羊肉片	37279
粉絲	红薯粉,水晶粉,空心粉,细粉丝,紫薯粉	60354,13763,1804,1593,680
肉鸡	肉蛋,粉鸡	52559,4887
头菜	圆白菜,洋白菜,芹菜粉,黑白菜,渍菜粉	15938,3516,2309,762,570
蟹柳棒	蟹棒,蟹排,蟹肉棒,蟹足棒,蟹味排	37020,23493,16635,2517,2121
京葱	大葱,圆葱	125336,21689
椰子肉	椰青,椰子冻,椰奶冻,椰冻	27688,8731,3309,1255
调酒	鸡尾酒,烧酒	211685,19125
燕窝粥	米粥,麦粥,枣粥,红枣粥,百合粥	124249,22193,16440,13950,10759
鱼仔饭	鸡饭,牛肉饭,鱼块,虾饭,鱼腩	305189,139893,68202,30206,27387
蜂蛹	蚕蛹	19464
白丸子	圆子,白馒头,番薯丸	27692,1539,417
玉米花	玉米卷	14064
豆片	豆干,豆皮,干豆腐,豆腐干,豆腐丝	237330,180583,108895,83951,63440
加馍	夹馍,肉夹馍,白吉馍,菜夹馍,卷馍	142509,121139,3545,2285,1273
鲜柠	鲜果茶	30125
蝴蝶腿	腿排,手枪腿,鸡腿排,炸鸡腿,排腿饭	73819,31224,27116,19921,47
福寿螺	海螺丝,尖螺	8113,709
鸭胗带	鸭肠,鸭心,鸭食管,鸭肝,鸭肾	101052,32719,14091,12927,12511
毛葱	圆葱	21689
饭面	炸酱饭,素浇饭	560,22
蟹片	虾片	83105
丝丁鱼	鱼头,鲈鱼,青鱼,石斑鱼,跳鱼	107904,44766,16451,6964,5348
笋粿	粿条,粿汁,粿卷	27970,1327,79
博饼	薄饼,太阳饼	53944,332
切盒	鲜果切	18101
醋木	木须肉,糖醋鱼	18102,4311
水鸭	老鸭,番鸭,姜母鸭,白斩鸭	120308,8380,2365,420
火炙虾	熟虾,甘虾	6516,402
姜撞	姜母茶,姜奶	7148,5724
香菇饺	韭菜饺,鲜饺,三鲜饺,烤饺,水晶饺	10545,9441,7041,3239,2246
意酱面	意面,焗面,意饭,通心面	102691,5687,1673,581
熏兔	熏鸡架,熏肚,熏口条	771,289,52
油皮	豆皮,豆腐皮,油面筋,油豆皮,油豆泡	180583,55779,17556,8408,901
葱花肉	肉饼,咸肉,酱肉,酱油肉,梅干肉	103476,39595,37424,1762,86
小干鱼	臭干,小河虾,剥皮鱼,小虾,糍粑鱼	17403,12479,11290,10894,6403
锅饭	肥牛饭,烩饭,焖饭,酱饭	33788,20852,14314,14182
石蛙	牛蛙,馋嘴蛙,跳跳蛙,石锅鱼,跳水蛙	85021,3436,3094,2796,544
豆沙卷	肉松卷,红豆饼,虎皮卷	11672,2362,1060
肺头	羊骨头,猪头骨,猪头片	3215,522,136
汉虾	大虾,基围虾,虾尾,海虾,香辣虾	149219,54943,35743,26405,23844
细卷	手卷,加州卷,太卷,吞沙卷,大根卷	41544,7039,3113,94,0
淡水鱼	鱼肉,脆鱼,鱼肉花,鱼味丸,墨鱼棒	71852,7714,262,241,236
菜大	凉拌菜	5565
白玉菇	白萝卜,平菇,海鲜菇,蟹味菇,秀珍菇	51486,44206,19629,15089,6449
鱼丝	鱼卷,鱼饼,鱼柳,鱼肚,鱼丸子	50866,32333,16617,11008,5117
老鸡	乌鸡汤,浸鸡	78140,362
炸响铃	炸花,炸豆腐,炸丸子,炸土豆片,炸肉丸	12110,8553,1584,1302,954
奶豆	奶糕	6742
羊肾	羊杂,羊肚,羊腿,羊腰,羊鞭	73854,40347,18039,13523,5994
手幹面	面条,烩面,手工面,菠菜面,素面	112956,50790,29295,11554,10316
涼拌	拌干丝,拌春菜	535,65
碎面	筋面,番茄面	60457,2569
干粉	米粉,热干面,素粉,卷粉,米干	470562,40519,18327,14121,6684
黄螺	花螺,香螺,大黄鱼,钉螺,辣螺	15582,13427,12889,11379,10555
杏仁酥	桃酥,蝴蝶酥,千层酥	31033,4793,4222
煎焖子	炸千子	50
蜜枣粥	米粥,南瓜粥,麦粥,燕麦粥,红枣粥	124249,26002,22193,21060,13950
凤翅	凤爪,泡凤爪	295112,47350
芭乐汁	葡萄汁,苹果汁,西柚汁,石榴汁,芦荟汁	87751,83902,26300,25617,5906
香辣堡	辣翅,田园堡,麦香堡,脆香堡	50726,4384,152,54
酱丁	酱菜	9095
阿婆粥	瘦肉粥,菜粥,麦粥,白粥,鱼片粥	86580,37807,22193,20837,13286
黄豆粒	豆芽,黄豆芽,芸豆,小豆芽,鸡刨豆腐	181404,46151,42618,2017,112
滚雪球	雪媚娘,雪胖子	28157,860
豆鼓	豆豉鲮鱼	33365
清蒸鱼	鱼头,鲫鱼,红烧鱼,鲢鱼,昂刺鱼	107904,98502,28581,26762,17940
闷肉	烧肉,红烧肉,肉沫,肉末,梅菜扣肉	368636,240994,207724,166118,39680
锥螺	花螺,香螺,钉螺,海螺丝,海锥	15582,13427,11379,8113,1484
油豆	豆腐丝,老豆腐,嫩豆腐,小豆芽	63440,37365,23417,2017
卤牛	牛腱子	18683
藤香鸡	黄焖鸡,瓦香鸡	138551,5391
面川条	线面,粗面,阳春面,蔬菜面,长寿面	7155,5723,4868,3606,2491
箜饭	米饭,煲仔饭,桶饭,木桶饭,焖饭	800333,285119,116384,111736,14314
三椒鱼	跳水鱼,蒸三咸,蒸扎鱼,蒸伏鱼	1007,8,7,3
粉卷	紫菜卷,炝粉	7755,1322
安康鱼	黄鱼,黄花鱼,鲈鱼,鲳鱼,银鱼	108422,48598,44766,44651,20780
咸鱼翻身	蒸伏鱼	3
浇饭	盖饭,桶饭,木桶饭,铁板饭,烩饭	745755,116384,111736,23859,20852
咸馍	油炸馍片	12
素馅	素三鲜,素包,三鲜素	30990,9072,1329
麦仁	薏仁,麦粥	48744,22193
韭苔	韭芽	823
吉菜粉	芹菜粉,黑白菜,渍菜粉	2309,762,570
豆腐渣	豆角,扁豆,油渣,刀豆,煎豆腐	415752,59329,23912,11299,11255
茶饮料	果茶,清茶	352797,95482
黄腊丁	黄骨鱼,黄辣丁	10313,3026
炒粉	炒面,炒米,蛋粉,煮粉,炒糕	327849,147203,18524,5914,3071
热粉	米粉肉,炒凉粉,锦粉面	1995,1904,867
蒸餃	蒸饺	123689
虾黄	黑虎虾,白对虾	3193,1199
廋肉	瘦肉,肉圆,大骨肉,肥肉,肉圆子	402538,27994,5692,4652,2133
奶脆	奶卷	4068
汤皮	鸭杂汤,汤泗粉	631,35
奶包	奶酥,奶酪包,奶卷,奶油包	24089,4291,4068,1572
松肉	扒肉条	118
蒜毫	蒜苔,蒜苗,蒜台,蒜薹,蒜黄	127662,67839,29644,15859,14107
猪什汤	肉丸汤,猪杂汤,瘦肉汤,及第汤,血汤	47909,45047,28287,5985,5128
烤全	烤油边	196
活鳗	鳗鱼,鳗鱼饭	90315,11160
野鸭子	胡子鱼	53
炒囊	炒面,炒饼,炒片,炒大米	327849,42811,154,0
小虾米	河虾	37987
养颜汤	排骨汤,乌鸡汤,炖鸡汤,鸽汤,养生粥	132417,78140,8094,7960,4179
排骨酥	猪排	134778
钳鱼	黑鱼,草鱼,鲈鱼,甲鱼,桂鱼	70156,66503,44766,25707,22827
活蛋	皮蛋,鸭蛋,咸鸭蛋,活珠子	169243,110633,65900,232
卤干	卤蛋,卤鸡蛋,卤肠,卤千张,卤笋	121102,12479,2034,1436,626
夹串	菜夹馍,夹肠饼	2285,51
猪脊骨	筒子骨,棒骨,腔骨,猪肘子,棒子骨	31502,20601,7568,4598,2201
御膳粥	海鲜粥	7712
浇面	削面,盖面,打卤面,油泼面,扯面	168025,46974,39743,11522,8947
石鸡	土鸡	184766
蛎黄	黄花鱼	48598
大油边	烤油边,烤大翅,牛大筋,大心管	196,81,60,20
滑子菇	姬菇,茨菇,滑子蘑,白灵菇	4979,3367,3081,431
嫩肉	蒸肉	36561
蓬蒿	藤蒿	39
鹅膀	卤鹅,鹅翅,盐水鹅,鹅头,鸭膀	9355,6196,2920,2897,1259
金花菜	苋菜,菜苔,红苋菜,奶白菜,盖菜	43231,41513,12781,7637,3656
刀魚	刀鱼	53784
头肉	酱牛肉,五香驴肉	25081,433
烧排	叉烧,烧鸭,烧鹅,叉烧饭,烧腊饭	262395,148684,44075,39174,515
素冒	冒鸭子	147
麦菜	菜心,通菜,通心菜	94484,4711,975
大福包	水晶包,蟹黄包,五福片,彩虹包,大蟹排	9162,1128,262,229,168
藤藤菜	香菜,木耳菜,茼蒿菜,豆芽菜,竹叶菜	175717,14968,2776,2141,1100
当归鸡	沙姜鸡,清蒸鸡,药膳鸡,土窑鸡	2006,1106,1059,421
蒿子秆	茼蒿,蓬蒿菜,蒿子杆,藤蒿,篙子杆	36044,2453,2011,39,2
墨鱼烧	鱼豆腐,鱼排,鱼卷,鱿鱼卷,墨鱼肠	196860,60647,50866,8577,2411
奶皮	冰皮,奶脆,虎皮卷	15907,2590,1060
竹丝鸡	乌鸡汤,浸鸡	78140,362
羊粉	鱼羊鲜	425
杏仁片	奶香片	1663
冰豆	赤豆糊	506
炸虾饼	虾卷,炸鱼,炸鸡翅,炸鸡排,炸鸡块	25641,19834,15401,13592,11494
辛辣	辣年糕	1668
酱猪	酱口条	85
剔骨	牛脊骨	549
切鸡	油鸡,白切鸭,咸鸡饭,油皇鸡,盐鸡饭	50834,6158,1674,1337,1041
内腰	腰子,羊腰,红腰,羊腰子,牛腰子	19952,13523,7344,5459,1295
花椒面	辣椒面	11556
蹄子	羊蝎子,棒子骨	22181,2201
豬扒	鸡扒,猪扒,鸡扒饭,猪扒饭,牛扒饭	109408,77092,36372,25501,8981
五香豆	豆腐丝,豆筋,卤豆腐	63440,18708,14413
拆骨饭	盖浇饭,木桶饭,拆骨肉	683053,111736,21107
酸豆	腊八豆	8723
枣粥	米粥,麦粥,绿豆粥,百合粥,银耳粥	124249,22193,13751,10759,4894
椰芒	芒果爽	3019
鳝片	鳝鱼,鳝丝	16924,4847
子排	肋排,筒子骨,汤排,猪肋排,棒子骨	39243,31502,18785,11284,2201
拌白肉	拌黄瓜,拌三丝,拌鸭肠,拌银耳,拐肉	23582,1571,1492,1151,672
精肉	肉馅,肥肉	155404,4652
油蛋	茶叶蛋,水煮蛋,油盐饼,白煮蛋,白水蛋	18365,2251,418,258,172
柚茶	洛神花茶,蜂蜜茶	5892,4872
洋芋饼	菜饼,油饼,饼子,葱油饼,猪肉饼	30328,27162,13386,8595,7327
素火腿	素鸡,素毛肚,素肚丝,素肚片	65600,14200,297,158
芋卷	芋饼	3064
粉煲	汤粉,粉面,锦粉面,糊汤粉	132601,103145,867,205
现炸	炸炸	1494
花拌	小葱拌豆腐	475
花壳	花蛤	55507
鸡蛋粉	肉丝粉,煎蛋面,酱蛋面	24622,1884,36
香饭	煲仔饭,扒饭,蒸饭,荷叶饭,焖饭	285119,82240,26056,17628,14314
红腰豆	鹰嘴豆	4426
雪布蕾	雪酪	2188
西辣蛋	辣子肉,辣丝肉	6213,211
大翅	翅中,中翅,鸡翅尖,全翅,鸡中翅	134064,71694,58943,45126,42153
豆棍	油豆腐,豆排,豆泡,豆芽菜,豆腐果	97195,25941,24909,2141,1680
咕老肉	咕噜肉,咕咾肉	5637,2103
大肉饼	烧饼,馅饼,油饼,葱油饼,烤饼	85499,54199,27162,8595,8507
干板	米干	6684
豌豆糕	豌豆黄	299
酱排	排骨,大排	1060636,6
酸角汁	椰汁,芒果汁,蓝莓汁	203472,109175,16283
蛋菜	蛋炒饭,肉蛋	199599,52559
炒剔尖	炒饼,炒片,炒大米	42811,154,0
蟹棒锅	毛肚锅,蔬菜锅	1544,1244
杏仁饼	酥饼,脆饼,薄饼,鸡仔饼	67972,58461,53944,1622
火腿蛋	肉蛋,黄金蛋,太阳蛋,煎双蛋	52559,8207,8109,1532
卤笋	卤千张	1436
锅面	面鱼,烫面,剪刀面,饸烙面,糊汤面	12198,3609,1368,1112,232
醋椒鱼	鱼头,鲢鱼,昂刺鱼,鲶鱼,黄骨鱼	107904,26762,17940,11356,10313
五柳炸蛋	五柳蛋	72
大白刁	白鱼,白丝鱼	4634,126
筋面	干面,牛肉汤面,海鲜面,虾面,素面	52387,19391,17309,12898,10316
菜类	烫菜	2310
蓬蒿菜	鸡毛菜,红苋菜,奶白菜,快菜,蒿子秆	16303,12781,7637,4803,4767
斋面	捞面,云吞面,公仔面,虾面,竹升面	36126,25032,18261,12898,2732
斋肠	肠粉,虾肠,拉肠,鲜虾肠,粉肠粥	120040,3754,3273,3071,2469
蚝煎	蚝仔烙,蚝烙,蚵仔煎	436,379,206
沙茶粿	粿条,粿汤,粿汁	27970,1747,1327
生拌	拌花菜,拌桔梗,小葱拌豆腐,拌三丁	727,572,475,178
脊椎骨	筒子骨,棒骨,腔骨	31502,20601,7568
猪拱嘴	猪耳,猪头肉,猪耳朵,猪舌,猪舌头	120134,65479,54828,32852,6843
油葱面	长排面,掩面,猪脚面线	99,31,24
勺粉	土豆粉,苕粉	127115,23028
粉类	鸭粉丝,冒粉	5815,246
粉肉	瘦肉,粉肠,肉圆,醋肉,罗汉肉	402538,33719,27994,6466,6182
皮奶	姜撞奶	3666
白菜肉	荠菜肉,肉三鲜,茴香肉,三鲜鲜肉	31708,31535,5423,2474
花生糕	绿豆糕	20015
咸蟹	花蟹,醉蟹,江蟹,咸草鸡,蟹糊	13478,7954,1198,1088,228
鱼条	鳕鱼,烤鱼,鱿鱼圈	172704,123392,21753
曲薯	薯格,薯角,笑脸薯,粗薯,炸薯条	61247,8377,7493,7340,5900
猪蹄筋	牛蹄筋,猪尾巴,野猪肉	15760,10366,1371
插条	面条	112956
鱼乔	子鱼,鳝鱼,黄骨鱼,跳水鱼,阳干鱼	21555,16924,10313,1007,336
虾迷	虾排	19600
泡沫红茶	洛神花茶,冰桔茶	5892,1177
盖浇米	盖浇饭,盖浇面,盖面,盖浇粉	683053,170148,46974,328
烤生	生串,烤油边	685,196
泡飯	泡饭	30070
茴香肉	荠菜肉,肉三鲜	31708,31535
饭堡	包饭,咖喱饭,卷饭,酱饭,饭卷	129812,30649,16064,14182,3679
苹果梨	鸭梨,千禧果,梨瓜	9649,8664,1230
切鸡饭	白切鸡,油鸡,叉烧饭,猪脚饭,豉油鸡	54077,50834,39174,31973,12240
章魚	章鱼	78629
奶油生菜	卷心菜,红苋菜,奶白菜,快菜,球生菜	12988,12781,7637,4803,4692
牛脊骨	牛骨,牛蹄,牛腱子,牛尾,牛宝	19289,18916,18683,13054,7801
咸鸡蛋	鸭蛋,咸鸭蛋,松花蛋,茶叶蛋,茶蛋	110633,65900,19773,18365,13206
京酱面	杂酱面,燃面,豌杂面,杂酱粉,豌豆面	30580,7074,5770,3802,1810
西粉	米粉,细粉,粉签,炒桂粉	470562,68282,1210,127
红烧鱼	鱼香茄子,糍粑鱼,糖醋鱼,盐鱼,瓦块鱼	19844,6403,4311,2380,2049
高笋	冬笋	25146
奶白菜	鸡毛菜,红苋菜,快菜,球生菜,牛心菜	16303,12781,4803,4692,3875
牛煲	牛腩	304331
烩小吃	烩菜,烩酸菜	18401,3127
波菜	香菜,菠菜,生菜,小白菜,木耳菜	175717,137940,122719,78988,14968
曲奇饼	鸡仔饼,花生饼	1622,1265
粉粥	养颜粥,羊肉粥	1498,441
炒大粉	炒米,炒泗粉,汤泗粉,炒白稞,茹粉结	147203,107,35,8,3
清汤挂面	阳春面,玉带面,家常面,珠江面	4868,2589,1205,593
香猪	咸猪肉	381
四红	红薯粥	1821
糖耳朵	糖三角,油糖饼	1619,25
鱼圆汤	粉汤,酸辣汤,丸子汤,冬瓜汤,海鲜汤	20380,17247,14885,11362,9428
扁面	干面,捞面,细面,荞麦面,虾面	52387,36126,26613,17403,12898
鳄鱼肉	枪鱼,甲鱼,桂鱼,昂刺鱼,黄骨鱼	114700,25707,22827,17940,10313
雞腿飯	鸡腿饭	81192
干豇豆	笋干,干豆角,干笋,扁豆丝,豆参	43379,30857,4339,1675,209
眼肉	猪梅肉	2137
冷热	热可可	6708
仔姜鸡	辣子鸡,芋儿鸡,仔姜肉丝,仔姜鸭,仔姜兔	112727,2245,1904,1355,386
牛胸	牛腱子,牛腰	18683,4970
连锅汤	豆汤,鸡蛋汤,豆腐汤,肉片汤,酸辣汤	59880,55706,48890,24450,17247
馍花	手工馍,油炸馍片	759,12
奶粥	燕麦粥,莲子粥,甜粥,桂花粥,麦片粥	21060,9929,3296,1110,1007
慕丝	慕斯	209013
鸭块面	牛杂面,素面,清汤面,豌豆面,绍子面	15658,10316,3056,1810,754
煎蛋卷	卷饼,煎饼果子,鸡蛋灌饼,鸭蛋黄	40125,25989,6552,3443
炸牛肉	香肉,炸鱼,炸豆腐,炸鸡肉,炸鱼丸	143431,19834,8553,3964,2130
姜奶	姜茶,姜母茶,姜撞奶,雙皮奶	35626,7148,3666,152
全猪	猪头骨,猪头片	522,136
黄桂粥	黄馍馍	117
酱鹅	卤鹅,鹅翅,贡鹅,鹅脚	9355,6196,809,614
牛娃面	菌菇面	1950
切蟹	梭子蟹,螃蟹,香辣蟹,蟹脚,蟹钳	24704,18818,16872,15245,13487
罗卜	萝卜,萝卜丝	740706,40245
桂花茶	洛神花茶,蜂蜜茶	5892,4872
白花	金花菜	1318
饭团子	鱼子酱,饭卷,玉子烧,紫菜饭	7478,3679,3470,1599
粘饼	葱花饼,发面饼,豆沙饼,三鲜饼,家常饼	2506,2307,2185,322,309
脆片	山药片	8707
夹肠饼	油饼,酱香饼,葱花饼,单饼,发面饼	27162,3355,2506,2480,2307
劲面	面条,筋面,荞麦面,素面,大碗面	112956,60457,17403,10316,5823
带丝汤	紫菜汤,酸辣汤,丸子汤,骨头汤,酸菜汤	25145,17247,14885,12526,5501
三叉骨	鸡脆骨,鸡骨架	22243,7136
菜粉	菜豆腐,鸭粉,菜茶	37381,11005,554
蚝仔煎	煎双蛋,海蛎煎,蚝仔烙,蚝烙,蚵仔煎	1532,825,436,379,206
饼加	手抓饼,卷饼,大饼,煎饼果子,菜煎饼	171126,40125,31848,25989,12070
饭类	销魂饭	1239
鸭母	番鸭,鸭肉汤	8380,709
鸭叉	鸭食管,鸭肚,鸭板肠,鸭手,鸭大腿	14091,8167,4597,692,505
鹅仔	醉鹅	664
黄瓜皮	苦瓜,丝瓜,冬瓜皮	121637,91535,1069
金鲳鱼	鲈鱼,桂鱼,子鱼,昂刺鱼,多宝鱼	44766,22827,21555,17940,17119
烏冬面	餐蛋面,鸭脯面	197,45
肉大	鲜肉,肉馅,肉三鲜,三鲜鲜肉	535343,155404,31535,2474
单档汤	酸辣汤,三鲜汤,海鲜汤,青菜汤,鸭血汤	17247,9534,9428,8526,2137
鱼酱	蒸鱼,明太鱼,青鱼	63339,16869,16451
猪柳	猪排,牛柳,猪扒,猪排饭,猪扒饭	134778,112948,77092,30831,25501
花菇	白玉菇,袖珍菇,姬菇,茨菇,白灵菇	15209,5013,4979,3367,431
炒豆子	刀豆,煎豆腐,炒青菜,炒腰花,炒小瓜	11299,11255,10875,4237,567
香鱼	鱿鱼,香肉,海鱼,明太鱼,雪鱼	604386,143431,58945,16869,6434
麻糊	枣沫糊,辣糊汤	87,48
葱油酥	蝴蝶酥,千层酥	4793,4222
油醪糟	醪糟蛋	1558
梭蟹	大闸蟹,梭子蟹,螃蟹,河蟹,面包蟹	81389,24704,18818,6090,3444
芥菜丝	海带丝,爽口菜,老虎菜,八宝菜,蘸酱菜	120610,9147,3886,3454,1002
白吉	白馍	350
鸡皮疙瘩	鸡心,鸡翅中,鸡全翅	56695,41433,17360
牛展	牛腱,酱牛肉,牛舌,牛蹄,牛腱子	35947,25081,20065,18916,18683
鱼包	鱼蛋,鱼卷,鱼饼,鱼面,流沙包	54109,50866,32333,28762,15497
攸面	莜面	14580
虾脆	虾肉,芙蓉虾	17505,2589
草汤	四物汤	271
鸡锁	药膳鸡,木子鸡	1059,88
桃桃酒	烧酒	19125
麦饺	蒸饺,煎饺,烧麦	123689,75128,33796
豆渣	豆角,豆米,扁豆,扁豆丝,渣肉	415752,68518,59329,1675,993
加菜	烫菜	2310
炒扎粉	炒泗粉,汤泗粉,猪油粉,炒白稞	107,35,15,8
云豆	豆角,扁豆,芸豆,小土豆,刀豆	415752,59329,42618,32060,11299
烤茄	茄子,烤大茄	431299,727
干鸡	土鸡,土匪鸡,阳干鱼,东安鸡	184766,780,336,209
茴香苗	茴香肉,香椿芽,香芹菜	5423,4481,1296
炒麻	炒饭,蛋炒饭,炒饼,炒大米	875812,199599,42811,0
味饭	牛肉饭,鸡排饭,鸡腿饭,鸡肉饭,鸡扒饭	139893,135196,81192,48800,36372
肥羊锅	肥牛,毛肚锅	312651,1544
乌鱼蛋	鱼滑,目鱼花	6524,968
昌鱼	黄鱼,鲫鱼,带鱼,草鱼,鲈鱼	108422,98502,98137,66503,44766
湯面	捞面,虾面,竹升面,斋面,餐蛋面	36126,12898,2732,518,197
猪瘦肉	猪腰,猪里脊,猪大肠,猪蹄膀,猪大排	39645,15670,12140,2170,0
敲鱼	目鱼,鱼圆	17908,2966
月餅	月饼	310905
骨髓	大骨肉	5692
锦粉	粉干,滑粉	48055,2854
干菜饺	荠菜肉,韭菜饺,香菇饺	31708,10545,5920
花糕	豆糕,米糕,发糕,糖糕,糯米糕	23963,12086,6060,2530,1632
菜锅	菜豆腐	37381
罐面	朝鲜面,剪刀面,九鲜面	7384,1368,101
葫芦瓜	丝瓜	91535
鸡骨草	灯心草	47
茄丁	肉丁	53662
茄泥	茄子,茄子饭,茄条	431299,34394,17277
面馍	白面馒头	211
面糊	糊涂面,白面馒头,糊饼	237,211,115
面干	杂酱面,牛杂面,素面,肉浇面,面结面	30580,15658,10316,229,227
刺贝	刀贝	100
杨桃汁	梨汁,苹果汁,石榴汁,菠萝汁,芦荟汁	107394,83902,25617,15071,5906
油麦	油菜,莜麦菜	61617,374
馅儿饼	馅饼,葱花饼,豆沙饼,三鲜饼,吊炉饼	54199,2506,2185,322,128
熬汤	血汤	5128
虾饭	鸡饭,牛肉饭,鸡排饭,鸡肉饭,鸡扒饭	305189,139893,135196,48800,36372
手拍面	玉米面,粗面,蔬菜面,绿豆面,棒棒面	26142,5723,3606,2970,992
羊脚粉	素粉,羊肉粉,羊杂面,牛筋粉,牛骨粉	18327,10732,3271,2433,1069
麻糖	小麻花,芝麻饼	45836,6356
猪脏面	菜面,米面,三鲜面,煮面,瘦肉面	54180,49736,7966,6863,3417
猪嘴	猪耳,猪手,猪头肉,猪耳朵,猪舌	120134,80586,65479,54828,32852
牛楠饭	鸡饭,牛腩,牛肉饭,排骨饭,鸡腿饭	305189,304331,139893,125241,81192
猪龙骨	筒子骨,腔骨,猪肘子,棒子骨,猪蹄膀	31502,7568,4598,2201,2170
鸡中宝	翅中,中翅,鸡中翅,掌中宝,鸡脆骨	134064,71694,42153,29448,22243
奶皇包	小笼包,豆沙包,奶黄包,叉烧包,流沙包	48594,28271,24248,19787,15497
白芸豆	黑豆	77654
肥腸	肥肠	323427
炸藕合	炸茄盒,炸三样,茄合,炸千子	716,544,481,50
鱼串	鱿鱼丝,烤鱼片	57253,17236
红丸子	粉耗子	474
大腿	手枪腿,琵琶腿	31224,29829
汤汁	高汤,牛骨汤	21723,4075
汪丫鱼	鲶鱼,燕鱼,华鱼,瓦块鱼,黄丫头	11356,2541,2151,2049,1764
网油卷	五香卷	1864
烂肉	盐煎肉,仔姜肉丝	10390,1904
松花肠	红肠,肘花,蒜肠,手掰肠	64903,23838,5931,1033
干杂	杂酱,杂酱面,豌杂,杂酱粉,干溜面	97698,30580,23697,3802,350
蚬子肉	黄蚬子,海瓜子,海蛎子	7129,6670,3622
冰盒	木糠盒	1642
芸豆卷	豌豆黄	299
咖喱饭	焗饭,扒饭,蛋包饭,卷饭,酱饭	116208,82240,46663,16064,14182
芸豆丝	豆角,京酱肉丝	415752,7125
酱茄	鱼香茄子,蒸茄	19844,1368
酱拌	拌面	396982
毛毛菜	空心菜,苋菜,鸡毛菜,红苋菜,盖菜	68843,43231,16303,12781,3656
肉乱炖	东北乱炖	361
兰花蟹	大闸蟹,梭子蟹,螃蟹,花螺,河蟹	81389,24704,18818,15582,6090
豬肚	猪肚	172234
冲汤	羊肉汤,羊杂汤,糊汤面,片儿汤,杂肝汤	13766,8314,232,180,163
豬肝	猪肝	225109
燒肉	控肉,燥肉	378,72
拆骨面	菜面,大肉面,干挑面,笋面,熬面	54180,3934,2874,1276,272
劲脆	连心脆,脆香堡	3856,54
青头菌	菌菇	100744
肠头	肥肠,猪头肉	323427,65479
饼条	角饼	2046
冻奶	珍珠奶茶,雙皮奶	124509,152
豆花汤	蛋汤,菜汤,鸡蛋汤,蛋花汤,豆腐汤	101494,79412,55706,53646,48890
菠萝粥	麦粥,燕麦粥,红枣粥,绿豆粥,冰粥	22193,21060,13950,13751,12039
油蛤	文蛤,青蛤	9138,461
软蛋糕	糕点	57810
蟹角	香辣蟹,蟹脚,蟹爪	16872,15245,2174
葱包桧	生煎包,麦包	6412,4372
葱肉饼	馅饼,葱花饼,三鲜饼,吊炉饼,粘饼	54199,2506,322,128,118
麻椒油	辣椒面	11556
黑虎虾	海虾,红虾,白虾,富贵虾,白对虾	26405,17055,16670,1239,1199
双宝饭	扒饭,酱饭,鳗鱼饭,三宝饭,肉燥饭	82240,14182,11160,3531,3393
烤兔肉	羊肉,五花肉,肉丸子,熏肉,扒肉	451940,326174,24376,16874,3911
台肠	纯肉肠,炸肠,面肠,台湾肠,热肠	6802,3911,1728,1298,171
牛肋骨	牛仔骨,牛窝骨	12715,362
星冰	爽冰乐	284
小萝卜头	小鱼	88869
炸面肠	肉肠,虾肠,拉肠,鲜虾肠,肉蛋肠	136467,3754,3273,3071,2100
包浆	包烧	5120
秀珍菇	平菇,海鲜菇,白玉菇,蟹味菇,袖珍菇	44206,19629,15209,15089,5013
菜肉	猪肉,鲜肉,荠菜,素菜包,三鲜鲜肉	961336,535343,157048,4811,2474
马哈鱼	刀鱼,黄花鱼,鲅鱼,鲤鱼,明太鱼	53784,48598,19401,18840,16869
蒿子杆	茼蒿,蒿子秆,茼蒿菜,蓬蒿菜,苘蒿	36044,4767,2776,2453,68
鱼薯	薯宝,曲薯,格伦薯	2119,2050,1
鱼刺	刺身,鲷鱼,立鱼,鲥鱼	45343,13198,4291,299
老蛏	蛏子,海蛏	47211,3710
香蕉苹果	千禧果	8664
驴蹄	驴杂	5691
洋白菜	娃娃菜,菜花,油麦菜,油菜,有机菜花	109314,95267,62387,61617,16786
大宽	宽粉,白宽粉,白宽面	59960,323,66
凌波鱼	石锅鱼,纸包鱼,梭边鱼,飘香鱼,湄公鱼	2796,2636,1851,1261,1135
馍头	馒头,白馒头,大馍,白面馒头	195981,1539,410,211
鸡肘	鸡脖,鸡肚,泡椒鸡爪,鸡拐	28765,4433,2305,1712
