奶茶	奶绿	182674
面皮	凉皮,凉面,凉拌面,米皮,担担面	165465,86532,19897,19253,18706
叫花鸡	风干鸡,桶子鸡	1294,263
鱿鱼	鳕鱼,小黄鱼,鱼排,海鱼,香鱼	172704,67265,60647,58945,46052
烧鹅	烧鸭,鹅肉,烧腊,鹅杂,叉鹅饭	148684,10791,6857,3233,94
盐酥鸡	鸡排,鸡翅,鸡柳,鸡米花,鸡腿排	915116,490792,284346,91063,27116
葱油饼	烧饼,大饼,糖饼,玉米饼,油酥饼	85499,31848,23335,7198,4304
肥肠	大肠	103411
煎包	煎饺,包子,小笼包,生煎,肉包子	75128,74152,48594,35055,15136
虾尾	龙虾,小龙虾,大虾,基围虾,皮皮虾	437837,218450,149219,54943,31838
酸辣汤	豆腐汤,紫菜汤,丸子汤,疙瘩汤,海带汤	48890,25145,14885,13460,10251
糖醋排骨	糖醋鱼	4311
泡菜	辣白菜,辣菜	114998,10220
泡馍	煮馍	3988
汤饭	汤面,汤粉,排骨汤,炖汤,瘦肉汤	247544,132601,132417,33608,28287
烫饭	泡饭	30070
河粉	米粉,汤粉,粉面,卤粉,粗粉	470562,132601,103145,19139,15029
烧鸭	烧鹅,叉烧饭,烧腊,白切鸭,姜母鸭	44075,39174,6857,6158,2365
菜煎饼	手抓饼,烧饼,卷饼,大饼,油饼	171126,85499,40125,31848,27162
驴肉	羊肉,驴杂,马肉,驴排	451940,5691,1155,431
汤圆	圆子,汤团	27692,2821
小炒	炒腰花,炒口条	4237,673
烧麦	叉烧包,烧卖,麦包,金麦包	19787,19602,4372,552
卤面	粉面,炸酱面,菜面,干面,米面	103145,80841,54180,52387,49736
冰激凌	冰淇淋,冰激淋,冰淇凌	521531,7541,3957
水煎包	包子,肉包子,素包,蒸包,炉包	74152,15136,9072,4119,762
糯米饭	白米粥,菠萝饭,乌饭,小米糕	3675,1547,299,0
比萨	披萨,匹萨,批萨	556182,5638,2961
西瓜汁	柠檬汁,雪梨汁,百香果汁,菠萝汁,玉米汁	117054,55519,22609,15071,15017
冰饭	冰粉	49995
雪糕	冰糕,方糕	13299,8617
麻辣串	串串香	11408
冰沙	沙冰,牛奶冰,刨冰	109619,27352,24154
螺丝	田螺,香螺,钉螺,丁螺,尖螺	51626,13427,11379,3238,709
沙茶面	粉面,面线,瘦肉面,面结,面线糊	103145,22062,3417,1373,1234
黑糖	黑芝麻	230909
熏肉大饼	肉夹馍,油饼,煎饼果子,菜煎饼,灌饼	121139,27162,25989,12070,9235
排骨汤	汤饭,乌鸡汤,老鸭汤,炖汤,鸽子汤	122328,78140,68416,33608,29609
大骨头	脊骨,酱骨,筋头巴脑,羊骨,骨棒	21763,10567,8739,5669,5164
汤粉	汤面,河粉,粉面,粉干,卤粉	247544,220141,103145,48055,19139
鸡柳	鸡排,鸡米花,盐酥鸡,鸡腿排,炸鸡腿	915116,91063,31642,27116,19921
大酱汤	海带汤,泡菜汤,味增汤,牛尾汤,味噌汤	10251,5397,1690,1148,1067
冰粥	冰粉,牛奶冰,刨冰,绵绵冰,炒冰	49995,27352,24154,18847,6677
担担面	凉面,热干面,杂酱面,擀面皮,燃面	86532,40519,30580,20288,7074
火烧	烧饼	85499
叉烧饭	烧鸭,鸡腿饭,猪脚饭,切鸡饭,三宝饭	148684,81192,31973,17355,3531
牛肉饭	鸡饭,鸡排饭,排骨饭,卤肉饭,牛柳	305189,135196,125241,124370,112948
肉饼	扣肉,肉圆,藕饼,葱花肉,咸猪肉	83190,27994,2325,1368,381
辛拉面	大碗面,意式面	5823,300
香辣蟹	梭子蟹,香辣虾,螃蟹,蟹脚,肉蟹	24704,23844,18818,15245,14024
肥牛	牛肉卷,肥羊锅	27796,573
吐司	土司	20034
排骨饭	鸡饭,牛肉饭,卤肉饭,鸡腿饭,鸡肉饭	305189,139893,124370,81192,48800
沙冰	冰沙,牛奶冰,刨冰,炒冰	135464,27352,24154,6677
水煮	盐水虾	526
白切鸡	油鸡,手撕鸡,切鸡饭,咸鸡,白切鸭	50834,38912,17355,12470,6158
鸡胸肉	里脊肉,鸡中翅,鸡翅中,鸭胸,鸡全翅	88380,42153,41433,23302,17360
皮皮虾	小龙虾,大虾,基围虾,龙虾尾,中虾	218450,149219,54943,16062,12846
小面	刀削面,凉面,炸酱面,热干面,杂酱面	163091,86532,80841,40519,30580
面疙瘩	粉面,菜面,米面,三鲜面,线面	103145,54180,49736,7966,7155
串串香	麻辣串,兰花串	3907,2197
鸡叉骨	鸡排,鸡柳,鸡架,鸡脖,炸鸡腿	915116,284346,29158,28765,19921
叉烧	烧肠	9743
米皮	凉皮,面皮,擀面皮,酿皮,卤米线	165465,50733,20288,4638,1024
手扒鸡	鸡肉卷,鸡米花,手枪腿,全鸡,炸鸡腿	129771,91063,31224,29202,19921
手撕鸡	鸡腿饭,猪手,白切鸡,咸鸡,葱油鸡	81192,80586,54077,12470,5633
热狗	热肠	171
糕点	蛋糕,绿豆糕	2837136,20015
乌冬面	拉面,捞面,车仔面,公仔面,竹升面	344370,36126,32882,18261,2732
梅菜扣肉	红烧肉,回锅肉,小炒肉,鱼香肉丝,东坡肉	240994,236937,95328,90141,8233
卤肉卷	卤蛋,瘦肉丸,纯肉肠,千张卷,大肉肠	121102,7012,6802,4922,2555
肘子	全肘	1234
猪脚	猪肚,猪手,猪尾,猪舌,猪肠	172234,80586,40452,32852,11624
棒棒鸡	鸡叉,鸡锁骨,钵钵鸡,鸡肘	12008,8388,6415,2257
汤面	汤粉,汤饭,粉面,菜面,捞面	132601,122328,103145,54180,36126
烧卖	烧麦,叉烧包	33796,19787
汉堡包	蟹黄堡,田园堡,至尊堡,麦香堡	4952,4384,860,152
猪扒包	鸡扒,鸡扒饭,猪排饭,猪扒饭	109408,36372,30831,25501
羊排	羊肉,羊蝎子,羊腿,羊蹄,烤羊肉	451940,22181,18039,15368,10592
回锅肉	肉丝,炒肉,腊肉,小炒肉,鱼香肉丝	1189845,748040,247334,95328,90141
蒸鸡	焖鸡,鸡煲,土鸡煲,蒸鸭,蒸汤	165172,49568,2131,1403,1005
片皮鸭	烤鸭,北京烤鸭,香酥鸭,鸭骨,鸭饼	118625,14387,5541,2717,1294
炸鸡腿	鸡排,鸡翅,香鸡,鸡柳,鸡米花	915116,490792,308065,284346,91063
海鲜粥	鸡粥,鱼粥,鱼片粥,蟹粥,咸骨粥	30668,18272,13286,10024,5266
羊蝎子	羊肉,羊排,牛腱子,羊腿,羊腩	451940,81331,18683,18039,2402
卤肉	卤蛋,鸡肉饭,牛肉饼,叉烧肉,肉燥	121102,48800,26358,17107,8171
小笼	小米糕	0
香辣虾	油焖大虾,基尾虾,黄辣丁,盆盆虾,油爆虾	6485,4561,3026,1741,1355
月饼	酥饼,鲜花饼,鸡仔饼,太阳饼,宫饼	67972,4771,1622,332,184
卤粉	米粉,河粉,酸辣粉,汤粉,粉面	470562,220141,165759,132601,103145
蛋饼	夹饼,玉米饼,土豆饼,藕饼,涨蛋	7358,7198,5920,2325,1836
肉片	肉丝,腊肉,回锅肉,腌肉,炒烟肉	1189845,247334,236937,3380,66
豆腐	土豆丝,土豆片,小豆芽	231974,137739,2017
杂酱面	凉面,热干面,豌杂,担担面,牛杂面	86532,40519,23697,18706,15658
泡饭	烫饭,捞饭,菜干饭	22510,14311,245
白斩鸡	白切鸡,口水鸡,咸鸡,咸草鸡,白切肉	54077,26283,12470,1088,588
海鲜面	拉面,汤面,筋面,捞面,牛腩面	344370,247544,60457,36126,22463
麻婆豆腐	小麻鱼	194
瓦罐汤	排骨汤,乌鸡汤,炖汤,靓汤,骨头汤	132417,78140,33608,28190,12526
凉拌面	炒面,冷面,凉面,炸酱面,卤面	327849,113939,86532,80841,57648
猪肚鸡	土鸡,鸡煲,土鸡煲,椰子鸡,浸鸡	184766,49568,2131,1131,362
鳗鱼	三文鱼,金枪鱼,章鱼,吞拿鱼,鱼子	161367,114185,78629,40167,36055
瓦香鸡	黄焖鸡,红焖鸡	138551,2074
辣条	辣串,麻辣串	5997,3907
大闸蟹	梭子蟹,螃蟹,大龙虾,膏蟹,河蟹	24704,18818,12174,6337,6090
龙虾尾	小龙虾,大虾,皮皮虾,青虾,大龙虾	218450,149219,31838,16447,12174
鸡锁骨	鸡排,鸡翅,鸡柳,鸡米花,盐酥鸡	915116,490792,284346,91063,31642
荷叶饭	炒饭,煲仔饭,焗饭,木桶饭,扒饭	875812,285119,116208,111736,82240
苕粉	土豆粉,细粉,红薯粉,宽粉,水晶粉	127115,68282,60354,59960,13763
面线糊	粉面,瘦肉面,沙茶面,面结,锅边糊	103145,3417,2659,1373,318
猪头肉	猪耳,鸭头,猪耳朵,猪舌,酱牛肉	120134,78287,54828,32852,25081
蛋黄酥	酥饼,酥皮,榴莲酥,蝴蝶酥,千层酥	67972,31592,10705,4793,4222
毛豆	刀豆,豆笋,毛花鱼,炒豆子	11299,3073,92,75
蟹煲	螃蟹,肉蟹,湖蟹,羔蟹,石蟹	18818,14024,2978,1568,935
大米	糙米	41042
渔粉	花甲粉,鱼粉,肥肠粉,杂粮粉,五谷粉	33696,32498,17257,2523,1350
泡菜汤	酸辣汤,酱汤,海带汤,海鲜汤,大酱汤	17247,14798,10251,9428,5892
鸡腿饭	鸡饭,牛肉饭,鸡排饭,排骨饭,卤肉饭	305189,139893,135196,125241,124370
柠檬水	柠檬茶,柠檬汁,柠乐,柠七,蜂蜜水	171614,117054,13096,7150,3664
土豆丝	豆腐,土豆片,麻婆豆腐,干丝,小豆芽	1563620,137739,31086,20866,2017
车仔面	乌冬面,牛丸面,碗仔翅,钵仔糕,餐蛋面	49018,1552,1020,801,197
章鱼烧	鱿鱼圈,鱼子酱,鱼腐,玉子烧,厚蛋烧	21753,7478,4711,3470,599
绿豆	红豆,黑豆,红豆沙,赤豆	905913,77654,44304,16920
