235687	15450	1628	6.56	0.69	10.54	222	222	1.00	粤菜	粤菜

419024	23050	1844	5.50	0.44	8.00	211	230	0.62	披萨意面	西餐
1135980	73500	8063	6.47	0.71	10.97	211	211	1.00	披萨意面	披萨意面

4748	434	63	9.14	1.33	14.52	224	224	1.00	云南菜	云南菜

407296	21197	3567	5.20	0.88	16.83	217	217	1.00	饺子馄饨	饺子馄饨

919536	29704	1991	3.23	0.22	6.70	237	209	1.05	地方小吃	盖浇饭
1031724	33066	2296	3.20	0.22	6.94	237	213	1.05	地方小吃	米粉面馆
429793	13535	924	3.15	0.21	6.83	237	221	1.00	地方小吃	川湘菜
405882	12923	983	3.18	0.24	7.61	237	214	1.14	地方小吃	麻辣烫
613429	22418	1479	3.65	0.24	6.60	237	240	1.14	地方小吃	奶茶果汁
297809	9700	745	3.26	0.25	7.68	237	263	1.19	地方小吃	其他菜系
746960	25157	1564	3.37	0.21	6.22	237	234	1.00	地方小吃	炸鸡炸串
1971371	70572	4202	3.58	0.21	5.95	237	237	1.00	地方小吃	地方小吃
2140813	67792	4544	3.17	0.21	6.70	237	265	1.00	地方小吃	简餐
389013	14144	1279	3.64	0.33	9.04	237	215	1.57	地方小吃	包子粥店
361157	12514	802	3.46	0.22	6.41	237	218	1.05	地方小吃	烧烤

2576	451	78	17.51	3.03	17.29	246	246	1.00	蔬菜	蔬菜

6996538	294078	25236	4.20	0.36	8.58	265	209	1.12	简餐	盖浇饭
3493710	105585	8368	3.02	0.24	7.93	265	213	0.75	简餐	米粉面馆
2522123	105370	10382	4.18	0.41	9.85	265	221	1.28	简餐	川湘菜
2425725	85586	5758	3.53	0.24	6.73	265	237	0.75	简餐	地方小吃
18792267	717420	60794	3.82	0.32	8.47	265	265	1.00	简餐	简餐

542036	35615	3392	6.57	0.63	9.52	225	225	1.00	江浙菜	江浙菜

37643	1895	145	5.03	0.39	7.65	245	254	0.93	水果	超市
215517	10894	900	5.05	0.42	8.26	245	245	1.00	水果	水果

204780	12444	968	6.08	0.47	7.78	230	230	1.00	西餐	西餐
155982	7845	570	5.03	0.37	7.27	230	211	0.79	西餐	披萨意面

6370626	479609	65935	7.53	1.03	13.75	234	212	1.23	炸鸡炸串	汉堡
5480408	370820	46004	6.77	0.84	12.41	234	234	1.00	炸鸡炸串	炸鸡炸串

10994	769	87	6.99	0.79	11.31	226	228	1.36	西北菜	新疆菜
59622	3610	346	6.05	0.58	9.58	226	226	1.00	西北菜	西北菜

178981	8160	876	4.56	0.49	10.74	214	219	0.69	麻辣烫	香锅砂锅
1202110	59539	8500	4.95	0.71	14.28	214	214	1.00	麻辣烫	麻辣烫

63822	3217	258	5.04	0.40	8.02	231	231	1.00	火锅烤鱼	火锅烤鱼
